err_2d_0,err_2d_1,err_2d_2,err_2d_3,err_2d_4,err_2d_5,err_3d_0,err_3d_1,err_3d_2,err_3d_3,err_3d_4,err_3d_5,err_x_0,err_x_1,err_x_2,err_x_3,err_x_4,err_x_5,err_y_0,err_y_1,err_y_2,err_y_3,err_y_4,err_y_5,err_z_0,err_z_1,err_z_2,err_z_3,err_z_4,err_z_5,gain_2d_0,gain_2d_1,gain_2d_2,gain_2d_3,gain_2d_4,gain_2d_5,gain_3d_0,gain_3d_1,gain_3d_2,gain_3d_3,gain_3d_4,gain_3d_5,noise_sigma,outlier
2.4538774,1.2924535,0.7551473,0.604592,0.5657932,0.5566596,0.015819328,0.008522749,0.005049487,0.0043070503,0.004096233,0.0040445137,0.004493142,0.002451732,0.0016042622,0.0013089855,0.0012358875,0.0012188723,0.0055563706,0.002965205,0.001607267,0.0012977447,0.0012232729,0.001202316,0.012229961,0.0065275733,0.0038848254,0.0034002548,0.0032488424,0.0032103572,196.30322488445216,197.4646485650482,198.00195484483413,198.15251009563528,198.1913088868147,198.20044249646165,0.8466551337591229,0.8539517135250937,0.8574249747141587,0.8581674116733923,0.8583782287274228,0.8584299480792982,0.022,0.1
2.4911563,1.322254,0.76259166,0.6069625,0.56473184,0.55434155,0.01598707,0.008687673,0.005097938,0.0043509533,0.0041374415,0.004046797,0.004556999,0.0024744414,0.001610283,0.0013055342,0.0012395496,0.0012201322,0.0056413957,0.0030892433,0.001654427,0.001310292,0.0012171685,0.0011985676,0.012301804,0.0066405702,0.0039235307,0.0034438726,0.0032928623,0.0032135122,196.22968779787922,197.3985900292372,197.95825219847762,198.11388139021153,198.1561120356483,198.16650235387067,0.84646602019134,0.8537654188255736,0.8573551539212537,0.8581021386289692,0.8583156503572871,0.8584062948657272,0.024,0.1
2.4489572,1.2970791,0.7613104,0.6036385,0.55911314,0.54955506,0.01584004,0.008570968,0.005075073,0.0043408596,0.0040949965,0.0040309993,0.004554844,0.0024435834,0.0015865535,0.0012708412,0.0011917696,0.0011786072,0.0054607857,0.0029818844,0.001650596,0.0013136582,0.0012199426,0.0012023527,0.012268389,0.0065707397,0.0039011883,0.003445818,0.0032715015,0.0032170916,196.38101507315167,197.53289321571717,198.068661782944,198.22633369360247,198.2708591155758,198.28041718465963,0.8465812031204535,0.8538502752152983,0.8573461701594189,0.8580803830925854,0.8583262460501995,0.8583902434761532,0.026000000000000002,0.1
2.4878926,1.3109275,0.7566078,0.60375357,0.5645261,0.555952,0.01608833,0.00868691,0.0051467763,0.004328993,0.0041154497,0.004035262,0.0045561297,0.002474175,0.0015895333,0.001284785,0.0012123449,0.0011989167,0.005593086,0.0030185794,0.0016388402,0.0013123848,0.0012291474,0.0012150523,0.012474442,0.006675279,0.0040073153,0.0034380755,0.0032859233,0.0032098875,196.4095420717863,197.58650745278277,198.14082708727247,198.29368138191901,198.3329088489344,198.34148286878744,0.8463514159245916,0.8537528351720922,0.8572929694987634,0.8581107520926545,0.8583242962030728,0.85840448366057,0.028,0.1
2.4881475,1.3007299,0.7503309,0.59786284,0.56409854,0.5537694,0.015894895,0.008514741,0.0050599333,0.0043392666,0.0041120406,0.004030607,0.00458434,0.0024467674,0.0015910091,0.0012832544,0.0012277463,0.001206548,0.0056377007,0.0030237879,0.001609113,0.0012887149,0.0012191117,0.0011973052,0.012221275,0.006499631,0.0039096493,0.0034583057,0.0032801444,0.0032084612,196.479906099882,197.66732353385171,198.21772250708943,198.3701905772575,198.40395492972067,198.4142839963772,0.8465583898198294,0.8539385433444024,0.8573933519051845,0.8581140184249582,0.858341244254427,0.8584226780620431,0.03,0.1
2.4623344,1.2964436,0.7375019,0.59642005,0.55833876,0.5462135,0.015925786,0.008587751,0.0050622635,0.004330717,0.00413158,0.0040187472,0.0045866473,0.0024565023,0.0015586674,0.0012829106,0.0012151587,0.0011909165,0.005496998,0.0030067936,0.001591171,0.0012842433,0.001201737,0.0011856781,0.012334937,0.0065902625,0.003942925,0.0034516165,0.0033192688,0.0032096491,196.28566781388596,197.4515585305877,198.01050029749425,198.15158207792416,198.18966341756285,198.20178867645933,0.8465537894394368,0.8538918253792802,0.8574173120827767,0.8581488590945667,0.8583479963388821,0.8584608288721068,0.032,0.1
2.4902773,1.3087766,0.7565477,0.6048214,0.5624134,0.5529647,0.016112817,0.008789247,0.0050636395,0.004303199,0.004038821,0.0039814264,0.004602791,0.0025033117,0.0016056552,0.0012924476,0.0012159471,0.001195107,0.0055867545,0.0029791882,0.0016156933,0.0013026898,0.0012136393,0.0011999634,0.012498539,0.006797336,0.0038985605,0.0034008848,0.003198166,0.0031524315,196.18914340619608,197.37064424189046,197.92287312751876,198.07459943304823,198.1170074419198,198.12645608853043,0.8463399348198526,0.8536635058115443,0.8573891124599994,0.8581495539725382,0.8584139315952578,0.8584713260428779,0.034,0.1
2.4706118,1.2990285,0.7501328,0.59705603,0.5583103,0.544804,0.015776496,0.008484102,0.0050033447,0.004274788,0.0040649357,0.003952675,0.004554627,0.0024849914,0.001577472,0.0012600899,0.0011827262,0.0011608031,0.0055757593,0.0029950347,0.0016160255,0.0013042585,0.0012301711,0.0012059638,0.012098938,0.0064290627,0.0038503725,0.0033909394,0.0032392987,0.0031392893,196.40763747841353,197.57922071577096,198.12811648980016,198.28119327154243,198.31993906718353,198.33344533436605,0.8466744106553483,0.8539668054163444,0.8574475633108045,0.8581761193794186,0.8583859716664697,0.858498232462483,0.036000000000000004,0.1
2.4924448,1.3069863,0.7554376,0.60682327,0.5681833,0.5605006,0.015915018,0.008558656,0.0050613764,0.0043499945,0.0041211215,0.00405742,0.004649398,0.002460634,0.0015935675,0.0013029862,0.0012253219,0.001208483,0.0055630924,0.0030228824,0.0016150011,0.001300254,0.0012276721,0.0012134011,0.0122620985,0.00652808,0.0039023538,0.0034460016,0.0032760277,0.0032133088,196.44773726584583,197.63319553305774,198.18474433856278,198.33335870419634,198.37199864289357,198.3796812985596,0.8465588053504719,0.8539151667007493,0.8574124458029648,0.8581238282967781,0.8583527016444235,0.858416403014616,0.038,0.1
2.4435775,1.2977842,0.74129,0.60051394,0.5632649,0.5521952,0.01600682,0.008666855,0.005048062,0.0042925226,0.0040827272,0.004022973,0.004483955,0.0024557204,0.0015688054,0.0012895487,0.001218404,0.001196659,0.0054817544,0.0029960542,0.0015938462,0.0012894175,0.0012190241,0.0012045898,0.012479626,0.006672323,0.003915851,0.0033961742,0.0032389932,0.0031970355,196.18211312928497,197.3279066395357,197.88440088470725,198.02517700233383,198.06242596438227,198.07349567838457,0.8465031622880638,0.8538431260840884,0.8574619189813534,0.8582174589724896,0.8584272536422364,0.8584870087440654,0.04,0.1
